"2024-07-31",43794
"2024-08-01",62953
"2024-08-02",60115
"2024-08-03",16294
"2024-08-04",12892
"2024-08-05",54781
"2024-08-06",56067
"2024-08-07",52558
"2024-08-08",59457
"2024-08-09",49318
"2024-08-10",14151
"2024-08-11",14058
"2024-08-12",48726
"2024-08-13",63774
"2024-08-14",59969
"2024-08-15",58781
"2024-08-16",64372
"2024-08-17",15581
"2024-08-18",17398
"2024-08-19",57253
"2024-08-20",84863
"2024-08-21",67396
"2024-08-22",62017
"2024-08-23",60844
"2024-08-24",16645
"2024-08-25",15943
"2024-08-26",51844
"2024-08-27",70027
"2024-08-28",59377
"2024-08-29",0
"2024-08-30",0
"2024-08-31",0
"2024-09-01",0
